FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
0.0,0.2795454545454545,0.1610795454545454,0.174715909090909,0.4877840909090909
0.0,0.2750356633380885,0.1960057061340941,0.2296718972895862,0.4530670470756062
0.0,0.2159189580318378,0.2211287988422575,0.2431259044862517,0.4723589001447178
0.0,0.1254716981132075,0.3069182389937106,0.3040880503144653,0.5490566037735849
0.0,0.1421383647798741,0.4955974842767295,0.4738993710691823,0.5311320754716982
0.0,0.2311874105865522,0.329041487839771,0.2351931330472102,0.4646638054363376
0.0,0.2301886792452829,0.1393081761006289,0.2097484276729559,0.6694968553459119
0.095796178343949,0.2817834394904458,0.2856050955414012,0.3597452229299363,0.4328662420382165
0.0,0.240343347639485,0.2795422031473533,0.2718168812589413,0.4658082975679541
0.0,0.2357864357864358,0.2862914862914863,0.2603174603174603,0.4049062049062049
0.0,0.1639586410635154,0.310192023633678,0.3890694239290989,0.3870014771048744
0.0,0.2230428360413589,0.2555391432791729,0.44903988183161,0.3545051698670605
0.0,0.2397711015736766,0.3187410586552217,0.3370529327610873,0.4334763948497854
0.0,0.281132075471698,0.3638364779874213,0.4556603773584905,0.4968553459119496
0.0,0.2246065808297568,0.2623748211731044,0.3310443490701001,0.5304721030042919
0.0,0.2390738060781475,0.2778581765557163,0.2749638205499277,0.4769898697539797
0.0,0.2912850812407681,0.3409158050221565,0.2431314623338256,0.3666174298375184
0.123312101910828,0.2565605095541401,0.2608917197452228,0.2784713375796178,0.2761783439490445
0.0,0.0940251572327044,0.3889937106918238,0.2886792452830188,0.519496855345912
0.0,0.2767475035663337,0.3378031383737518,0.3472182596291012,0.3971469329529243
0.0,0.3047210300429184,0.348211731044349,0.3971387696709585,0.5679542203147354
0.0,0.376957163958641,0.3364844903988183,0.379615952732644,0.3940915805022156
0.0,0.2967189728958629,0.3169757489300998,0.3549215406562054,0.3831669044222539
0.0,0.2151645207439199,0.196280400572246,0.1925608011444921,0.3244635193133047
0.0,0.2091194968553458,0.3194968553459119,0.399685534591195,0.5113207547169811
0.0,0.2897727272727272,0.4196022727272727,0.3866477272727272,0.4713068181818182
0.0,0.2704707560627674,0.2559201141226818,0.3058487874465049,0.2393723252496433
0.0,0.1988555078683834,0.2246065808297568,0.2351931330472102,0.5350500715307582
0.0,0.2410635155096011,0.4454948301329394,0.4115214180206794,0.4977843426883309
0.0,0.3380884450784593,0.3375178316690442,0.3241084165477889,0.4761768901569186
