FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
1.0,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.9993690851735016,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.8,1.0,0.9993690851735016,1.0,0.9993690851735016
0.6,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
