FeTrIL,DDGR,VAE - Filter,VAE - GMM
0.0,0.2899408284023668,0.2976331360946745,0.4159763313609467
0.0,0.3092284417549167,0.1794251134644478,0.3730711043872919
0.0,0.1692753623188405,0.2434782608695652,0.3884057971014492
0.0,0.2208403361344538,0.2880672268907563,0.4073949579831932
0.0,0.2981512605042017,0.3183193277310924,0.5334453781512606
0.0,0.2002998500749625,0.2683658170914542,0.383208395802099
0.0,0.1798319327731092,0.1277310924369747,0.3435294117647058
0.123342175066313,0.196286472148541,0.1358090185676392,0.2978779840848806
0.0,0.1724137931034482,0.1205397301349324,0.3775112443778111
0.0,0.1849849849849849,0.2414414414414414,0.4417417417417417
0.0,0.2519287833827892,0.2020771513353116,0.4234421364985162
0.0,0.1703264094955489,0.200593471810089,0.3367952522255192
0.0,0.1145427286356821,0.2842578710644677,0.3634182908545727
0.0,0.1794957983193277,0.2625210084033613,0.3284033613445378
0.0,0.176911544227886,0.1994002998500749,0.3697151424287856
0.0,0.1568115942028985,0.1478260869565217,0.3568115942028985
0.0,0.2655786350148367,0.3219584569732937,0.3890207715133531
0.1259946949602122,0.2326259946949602,0.2405835543766578,0.3946949602122015
0.0,0.2638655462184874,0.2467226890756301,0.3583193277310924
0.0,0.216036308623298,0.2953101361573373,0.3987897125567322
0.0,0.24047976011994,0.1691154422788605,0.3478260869565217
0.0,0.1439169139465875,0.2243323442136498,0.3629080118694362
0.0,0.2423600605143721,0.1149773071104386,0.318608169440242
0.0,0.2227886056971514,0.3049475262368815,0.3991004497751124
0.0,0.122016806722689,0.295126050420168,0.4063865546218487
0.0,0.3310650887573964,0.2683431952662721,0.3822485207100591
0.0,0.2444780635400907,0.3909228441754916,0.3452344931921331
0.0,0.2500749625187406,0.3163418290854572,0.3745127436281859
0.0044510385756676,0.2255192878338278,0.217507418397626,0.4528189910979228
0.0,0.2871406959152798,0.2441754916792737,0.4042360060514371
