FeTrIL,DDGR,VAE_Adapt,VAE - Filter,VAE - GMM
1.0,1.0,1.0,1.0,1.0
1.0,0.999410029498525,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9993690851735016,1.0,1.0
1.0,1.0,0.9993690851735016,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9993690851735016,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.9992337164750956,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9993690851735016,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.999410029498525,0.999410029498525
1.0,1.0,1.0,1.0,1.0
1.0,0.9993690851735016,1.0,1.0,0.9993690851735016
1.0,1.0,1.0,1.0,0.999250936329588
1.0,1.0,0.999410029498525,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.999410029498525
