method,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time,total_time
VAE_Adapt,100,2.095848115289377,8.383392461157507,24.33308396597227,97.3323358638891,105.71572832504661
VAE_BBox,100,2.19322517505671,8.77290070022684,24.172982203454914,96.69192881381966,105.4648295140465
VAE_Filter,100,2.218349490262878,8.873397961051513,24.966877718120607,99.86751087248243,108.74090883353394
VAE_GMM,100,1.9528451144959156,7.811380457983662,22.076953022679835,88.30781209071932,96.11919254870298
VAE_Adapt,300,2.095848115289377,8.383392461157507,24.33308396597227,97.3323358638891,105.71572832504661
VAE_BBox,300,2.19322517505671,8.77290070022684,24.172982203454914,96.69192881381966,105.4648295140465
VAE_Filter,300,2.218349490262878,8.873397961051513,24.966877718120607,99.86751087248243,108.74090883353394
VAE_GMM,300,1.9528451144959156,7.811380457983662,22.076953022679835,88.30781209071932,96.11919254870298
VAE_Adapt,898,2.095848115289377,8.383392461157507,24.33308396597227,97.3323358638891,105.71572832504661
VAE_BBox,898,2.19322517505671,8.77290070022684,24.172982203454914,96.69192881381966,105.4648295140465
VAE_Filter,898,2.218349490262878,8.873397961051513,24.966877718120607,99.86751087248243,108.74090883353394
VAE_GMM,898,1.9528451144959156,7.811380457983662,22.076953022679835,88.30781209071932,96.11919254870298
VAE_Adapt,2692,2.095848115289377,8.383392461157507,24.33308396597227,97.3323358638891,105.71572832504661
VAE_BBox,2692,2.19322517505671,8.77290070022684,24.172982203454914,96.69192881381966,105.4648295140465
VAE_Filter,2692,2.218349490262878,8.873397961051513,24.966877718120607,99.86751087248243,108.74090883353394
VAE_GMM,2692,1.9528451144959156,7.811380457983662,22.076953022679835,88.30781209071932,96.11919254870298
VAE_Adapt,175,2.095848115289377,8.383392461157507,24.33308396597227,97.3323358638891,105.71572832504661
VAE_BBox,175,2.19322517505671,8.77290070022684,24.172982203454914,96.69192881381966,105.4648295140465
VAE_Filter,175,2.218349490262878,8.873397961051513,24.966877718120607,99.86751087248243,108.74090883353394
VAE_GMM,175,1.9528451144959156,7.811380457983662,22.076953022679835,88.30781209071932,96.11919254870298
EWC_Replay,100,2.1297955812638003,8.519182325055201,0.06630984442308539,0.2652393776923418,8.784421702747544
EWC_Replay,175,2.190091441669501,8.760365766678005,0.059339834363199714,0.23735933745279905,8.997725104130804
EWC_Replay,300,2.2568791922119757,9.027516768847903,0.0792938749895741,0.3171754999582966,9.344692268806199
EWC_Replay,898,2.4766994324968095,9.906797729987238,0.10594109617587591,0.4237643847035037,10.330562114690741
EWC_Replay,2692,2.7992814509586124,11.19712580383445,0.13465501665448149,0.5386200666179259,11.735745870452375
LUCIR,100,3.611039519856374,14.444158079425495,1.148559735144178,4.594238940576713,19.038397020002208
LUCIR,175,4.8373205040209,19.349282016083595,1.1827726254425943,4.731090501770377,24.080372517853974
LUCIR,300,3.7562475477841994,15.024990191136798,1.2690688023436816,5.076275209374726,20.101265400511522
LUCIR,898,4.06565399484502,16.26261597938008,1.555198365073237,6.220793460292948,22.48340943967303
LUCIR,2692,4.572292723362334,18.289170893449334,1.9519672396142655,7.807868958457062,26.097039851906395
Random,100,1.32291883510227,5.29167534040908,0.06532522279148298,0.26130089116593197,5.552976231575012
Random,175,1.3280300216237084,5.312120086494834,0.05456662264807768,0.2182664905923108,5.530386577087144
Random,300,1.3970443555402259,5.5881774221609035,0.08318763365969056,0.3327505346387625,5.920927956799666
Random,898,1.5166028491904338,6.066411396761735,0.10322638132298985,0.4129055252919594,6.479316922053695
Random,2692,1.6883777902663375,6.75351116106535,0.13191266226427004,0.5276506490570803,7.2811618101224305
iCaRL,100,2.229734048030029,8.918936192120116,1.1802588661263387,4.721035464505355,13.63997165662547
iCaRL,175,3.277331552579999,13.109326210319997,1.1881487056675055,4.752594822670022,17.86192103299002
iCaRL,300,2.264804985197261,9.059219940789044,1.2942605015449227,5.177042006179691,14.236261946968735
iCaRL,898,2.3790062101206018,9.516024840482407,1.5799981773437726,6.31999270937509,15.836017549857498
iCaRL,2692,2.538383604629586,10.153534418518344,1.9706529618240893,7.882611847296357,18.0361462658147
